objectid,zcta5ce10,geoid10,classfp10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,featureuid,createdate,createdby,modifieddate,modifiedby,agency,deliverydate,sourceid,severity,publishdate,comments,pop15,st_areashape,st_lengthshape
28,96740,96740,B5,G6350,S,612313907,72949235,19.7568198,-155.9199679,{CB524F6E-1E7C-4B89-8B91-838E622E8578},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,36655,686508632.3,0
29,96741,96741,B5,G6350,S,71388699,562690,21.9567689,-159.5139807,{E6E77B8C-34B2-40E6-961C-5A0EEA5D3343},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,5770,71900784.86,0
30,96742,96742,B5,G6350,S,31057602,14125745,21.1766675,-156.9657475,{6EE212EB-5A7D-4778-A3F9-C271F6575660},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,85,45197265.76,0
31,96743,96743,B5,G6350,S,961780383,36624622,19.8621592,-155.69887,{E90B9C73-3067-4517-BC40-43230B9DDA60},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,13294,1000555591,0
32,96744,96744,B5,G6350,S,89313749,51711168,21.4517334,-157.8242273,{E4F929A5-018C-4A46-95C0-9FA0B2CA9A96},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,52221,140962943.7,0
33,96746,96746,B5,G6350,S,132869776,7623875,22.093378,-159.3851904,{1002A9AE-5164-4B5A-9F5E-8614C85EC137},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,19139,140392326.3,0
34,96747,96747,B5,G6350,S,6704077,53495,21.9299443,-159.6244271,{ADF37F72-E1C8-41FE-BCE8-32D65AF5F435},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,940,6752990.194,0
35,96748,96748,B5,G6350,S,318191106,55564427,21.1311732,-156.8352374,{D8540CCB-6D28-48DC-B2A1-74EB8B341A62},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,4300,373898541.9,0
36,96749,96749,B5,G6350,S,162781814,9936840,19.6212822,-154.9897354,{D7563539-7B42-4B47-B19D-C1E06AA7F737},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,17764,173332170.4,0
37,96750,96750,B5,G6350,S,483331560,6313950,19.5319935,-155.7148279,{621CC632-2885-402F-B1B7-AD63958E6A29},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,3616,490666865.3,0
60,96776,96776,B5,G6350,S,174680085,16003467,19.9940672,-155.3996008,{3127F18F-6D4E-43B1-B35D-F4D64CAA5BA2},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1667,191200810.8,0
38,96751,96751,B5,G6350,S,1000159,0,22.1049587,-159.302576,{F28CE20A-412A-4182-944C-0F23CAE79648},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,50,999422.4891,0
61,96777,96777,B5,G6350,S,451245928,9584422,19.2519481,-155.4567691,{35FD0FB1-D0D3-4B17-B94A-29AFF903F1F9},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1501,462023796.3,0
62,96778,96778,B5,G6350,S,696969512,27417316,19.4389404,-155.0281756,{73709BD5-FBE7-4CC8-90F4-C70D767BC427},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,14375,726915309.5,0
63,96779,96779,B5,G6350,S,20991436,8091311,20.9092597,-156.3846323,{2D3817B9-87FF-46BE-A43D-48F5A3164654},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,2998,29113537.68,0
